SUZLON ENERGY LTD												SCREENER.IN	
													
Narration	Mar-16	Mar-17	Mar-18	Mar-19	Mar-20	Mar-21	Mar-22	Mar-23	Mar-24	Mar-25	Trailing	Best Case	Worst Case
Sales	 9,483.48 	 12,714.37 	 8,116.20 	 5,024.69 	 2,972.85 	 3,345.72 	 6,581.78 	 5,970.53 	 6,529.09 	 10,889.74 	 15,028.53 	 18,162.78 	 11,122.41 
Expenses	 9,766.52 	 10,235.11 	 7,139.50 	 5,048.15 	 3,828.61 	 2,809.03 	 5,681.80 	 5,137.33 	 5,491.90 	 9,026.30 	 12,276.67 	 14,837.01 	 9,782.90 
Operating Profit	 -283.04 	 2,479.26 	 976.70 	 -23.46 	 -855.76 	 536.69 	 899.98 	 833.20 	 1,037.19 	 1,863.44 	 2,751.86 	 3,325.77 	 1,339.51 
Other Income	 2,562.79 	 108.95 	 555.15 	 92.23 	 -42.29 	 822.92 	 94.78 	 2,738.95 	 -23.78 	 97.18 	 117.79 	 -   	 -   
Depreciation	 391.76 	 389.03 	 341.61 	 341.85 	 418.61 	 258.38 	 259.84 	 259.68 	 189.60 	 259.19 	 318.22 	 318.22 	 318.22 
Interest	 1,304.02 	 1,287.59 	 1,580.98 	 1,269.91 	 1,367.29 	 996.26 	 734.52 	 420.76 	 164.32 	 254.80 	 411.71 	 411.71 	 411.71 
Profit before tax	 583.97 	 911.59 	 -390.74 	 -1,542.99 	 -2,683.95 	 104.97 	 0.40 	 2,891.71 	 659.49 	 1,446.63 	 2,139.72 	 2,595.84 	 609.58 
Tax	 -23.61 	 11.70 	 -1.56 	 -11.90 	 7.44 	 4.63 	 166.59 	 4.42 	 -0.86 	 -625.00 	 -1,090.30 	-51%	-51%
Net profit	 583.10 	 857.71 	 -376.98 	 -1,527.18 	 -2,642.23 	 104.18 	 -199.59 	 2,849.01 	 660.35 	 2,071.63 	 3,231.26 	 3,918.56 	 920.19 
EPS	 0.94 	 1.38 	 -0.57 	 -2.32 	 -4.01 	 0.10 	 -0.17 	 2.28 	 0.49 	 1.53 	 2.38 	 2.88 	 0.68 
Price to earning	 13.90 	 12.72 	 -17.17 	 -2.44 	 -0.45 	 46.41 	 -48.03 	 3.46 	 82.54 	 37.03 	 18.21 	 35.31 	 18.21 
Price	 13.04 	 17.54 	 9.83 	 5.65 	 1.79 	 4.59 	 8.40 	 7.90 	 40.40 	 56.66 	 43.27 	 101.75 	 12.32 
													
RATIOS:													
Dividend Payout	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%			
OPM	0.00%	19.50%	12.03%	0.00%	0.00%	16.04%	13.67%	13.96%	15.89%	17.11%	18.31%		
													
													
						TRENDS:	10 YEARS	7 YEARS	5 YEARS	3 YEARS	RECENT	BEST	WORST
						Sales Growth	1.55%	4.29%	29.65%	18.27%	66.79%	66.79%	1.55%
						OPM	12.04%	12.52%	15.52%	15.96%	18.31%	18.31%	12.04%
						Price to Earning	 30.61 	 37.53 	 37.53 	 35.31 	 18.21 	 35.31 	 18.21 




















SUZLON ENERGY LTD									SCREENER.IN	
										
Narration	Sep-23	Dec-23	Mar-24	Jun-24	Sep-24	Dec-24	Mar-25	Jun-25	Sep-25	Dec-25
Working Capital	 1,682.21 	 1,732.03 	 3,145.58 	 1,285.50 	 726.51 	 2,285.70 	 1,860.53 	 2,164.89 	 3,155.99 	 4,501.29 
Debtors	 2,515.12 	 3,627.53 	 2,985.15 	 1,880.59 	 1,364.54 	 1,189.72 	 1,376.95 	 1,170.44 	 1,829.58 	 3,866.35 
Inventory	 2,524.65 	 3,468.84 	 3,026.37 	 2,913.93 	 2,055.59 	 2,172.76 	 2,207.90 	 1,827.13 	 2,292.29 	 3,233.55 
										
Debtor Days	 96.80 	 104.14 	 134.25 	 136.61 	 167.54 	 129.79 	 76.36 	 71.55 	 102.28 	 129.59 
Inventory Turnover	 3.76 	 3.67 	 2.68 	 1.72 	 1.45 	 1.54 	 2.98 	 3.27 	 2.85 	 3.37 
										
Return on Equity								259%	17%	34%
Return on Capital Emp		54%	26%	-7%	-50%	38%	23%	111%	23%	32%



SUZLON ENERGY LTD									SCREENER.IN	
										
Narration	Mar-16	Mar-17	Mar-18	Mar-19	Mar-20	Mar-21	Mar-22	Mar-23	Mar-24	Mar-25
Cash from Operating Activity	 -739.20 	 1,601.91 	 -109.44 	 1,266.74 	 -929.04 	 530.50 	 1,301.90 	 491.08 	 79.53 	 1,091.96 
Cash from Investing Activity	 4,481.80 	 -643.35 	 -137.99 	 125.15 	 -32.49 	 -23.73 	 -19.02 	 84.71 	 -151.63 	 -748.98 
Cash from Financing Activity	 -5,656.23 	 -1,249.02 	 492.38 	 -1,898.34 	 969.24 	 -326.60 	 -1,044.95 	 -708.91 	 131.63 	 343.01 
Net Cash Flow	 -1,913.63 	 -290.46 	 244.95 	 -506.45 	 7.71 	 180.17 	 237.93 	 -133.12 	 59.53 	 685.99 



 COMPANY NAME 	 SUZLON ENERGY LTD 			  						
 LATEST VERSION 	 2.10 			 PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET 						
 CURRENT VERSION 	 2.10 									
										
 META 										
 Number of shares 	 1,359.81 									
 Face Value 	2									
 Current Price 	43.27									
 Market Capitalization 	58838.8									
										
										
										
										
										
 PROFIT & LOSS 										
Report Date	Mar-16	Mar-17	Mar-18	Mar-19	Mar-20	Mar-21	Mar-22	Mar-23	Mar-24	Mar-25
 Sales 	9483.48	12714.37	8116.2	5024.69	2972.85	3345.72	6581.78	5970.53	6529.09	10889.74
 Raw Material Cost 	5184.82	8291.44	5019.94	2956.5	1404.41	1610.75	4091.95	3626.76	4018.65	7139.17
 Change in Inventory 	-418.96	748.55	-95.77	-41.85	-469.1	33.48	-239.61	-155.9	36.52	252.57
 Power and Fuel 	60.26	71.44	59.36	57.1	61.04	45.05	57.59	61.54	58.79	65.29
 Other Mfr. Exp 	268.64	456.44	310.98	230.85	129.99	188.43	398.19	349.91	272.43	431.71
 Employee Cost 	959.09	1046.48	804.68	874.16	796.25	553.21	545.36	609.22	702.9	941.53
 Selling and admin 	818.24	784.29	503.36	410.39	266.71	223.79	248.21	231.97	334.2	546
 Other Expenses 	2056.51	333.57	345.41	477.3	701.11	221.28	100.89	102.03	141.45	155.17
 Other Income 	2562.79	108.95	555.15	92.23	-42.29	822.92	94.78	2738.95	-23.78	97.18
 Depreciation 	391.76	389.03	341.61	341.85	418.61	258.38	259.84	259.68	189.6	259.19
 Interest 	1304.02	1287.59	1580.98	1269.91	1367.29	996.26	734.52	420.76	164.32	254.8
 Profit before tax 	583.97	911.59	-390.74	-1542.99	-2683.95	104.97	0.4	2891.71	659.49	1446.63
 Tax 	-23.61	11.7	-1.56	-11.9	7.44	4.63	166.59	4.42	-0.86	-625
 Net profit 	583.1	857.71	-376.98	-1527.18	-2642.23	104.18	-199.59	2849.01	660.35	2071.63
 Dividend Amount 										
										
										
										
										
										
										
										
										
 Quarters 										
Report Date	Sep-23	Dec-23	Mar-24	Jun-24	Sep-24	Dec-24	Mar-25	Jun-25	Sep-25	Dec-25
 Sales 	1421.43	1560.47	2196.21	2021.59	2103.38	2974.83	3789.94	3131.72	3870.78	4236.09
 Expenses 	1196.39	1312.84	1838.8	1651.51	1809.2	2475.32	3096.48	2532.65	3149.94	3497.6
 Other Income 	-27.73	9.24	-15.85	22.76	17.85	27.53	35.25	33.47	26.55	22.52
 Depreciation 	51.17	39.46	44.38	45.84	54.42	66.18	92.75	70.24	75.23	80
 Interest 	43.7	14.28	44.31	44.52	56.03	69.53	84.72	103.07	109.66	114.26
 Profit before tax 	102.44	203.13	252.87	302.48	201.58	391.33	551.24	459.23	562.5	566.75
 Tax 	0.15	0.09	-1.25	0.19	0.98	3.57	-629.74	134.91	-716.94	121.47
 Net profit 	102.29	203.04	254.12	302.29	200.2	386.92	1182.22	324.32	1279.44	445.28
 Operating Profit 	225.04	247.63	357.41	370.08	294.18	499.51	693.46	599.07	720.84	738.49
										
										
										
										
 BALANCE SHEET 										
